Brand,Year,Model,Title,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,CylindersinEngine,BodyType,Doors,Seats,State,Cylinders,Capacity
Lexus,2022,NX250,2022 Lexus NX250 2WD,USED,Automatic,Front,Premium,6.9,4264.0,White / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.5
Ford,2015,Ranger,2015 Ford Ranger XL 2.2 (4X4),USED,Automatic,4WD,Diesel,8.1,257092.0,White / -,4 cyl,Ute / Tray,4 Doors, 5 Seats, WA,4.0,2.2
MG,2021,HS,2021 MG HS Core,USED,Automatic,Front,Unleaded,7.3,20000.0,White / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,1.5
Subaru,2016,WRX,2016 Subaru WRX Premium (awd),USED,Manual,AWD,Premium,9.2,77474.0,Grey / Black,4 cyl,Sedan,4 Doors, 5 Seats, WA,4.0,2.0
Ford,2012,Focus,2012 Ford Focus Ambiente,USED,Automatic,Front,Unleaded,6.6,128768.0,Red / Black,4 cyl,Hatchback,5 Doors, 5 Seats,VIC,4.0,1.6
Volkswagen,2018,Multivan,2018 Volkswagen Multivan Comfortline TDI340,USED,Automatic,Front,Diesel,7.7,133795.0,Blue / Black,4 cyl,Wagon,4 Doors, 7 Seats,QLD,4.0,2.0
Mazda,2006,CX-7,2006 Mazda CX-7 Luxury (4X4),USED,Automatic,AWD,Premium,11.5,245929.0,Silver / Black,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,2.3
Mercedes-Benz,2017,CLA250,2017 Mercedes-Benz CLA250 Sport 4Matic,USED,Automatic,AWD,Premium,6.9,89831.0,White / Black,4 cyl,Sedan,4 Doors, 5 Seats,VIC,4.0,2.0
Mazda,2022,CX-5,2022 Mazda CX-5 GT SP (awd),USED,Automatic,AWD,Unleaded,7.5,6010.0,Black / -,4 cyl,SUV,4 Doors, 5 Seats, SA,4.0,2.5
Audi,2019,Q3,2019 Audi Q3 35 Tfsi S Tronic,USED,Automatic,Front,Premium,7.2,47279.0,White / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,1.4
Hyundai,2019,Tucson,2019 Hyundai Tucson Active X (2WD) Black INT,USED,Automatic,Front,Unleaded,7.9,63040.0,White / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Toyota,2019,Landcruiser,2019 Toyota Landcruiser Prado GXL (4X4),USED,Automatic,4WD,Diesel,8.0,93742.0,Silver / Black,4 cyl,SUV,4 Doors, 7 Seats,QLD,4.0,2.8
Mercedes-Benz,2020,A35,2020 Mercedes-Benz A35 4Matic,USED,Automatic,AWD,Premium,7.6,35820.0,White / -,4 cyl,Hatchback,5 Doors, 5 Seats,QLD,4.0,2.0
GWM,2022,Haval,2022 GWM Haval H6GT LUX (2WD),NEW,Automatic,Front,Unleaded,7.5,10.0,Red / Black,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,2.0
Hyundai,2017,Iload,2017 Hyundai Iload 3S Liftback,USED,Manual,Rear,Diesel,7.6,185746.0,White / -,4 cyl,Commercial,4 Doors, 3 Seats,NSW,4.0,2.5
Mitsubishi,2013,Outlander,2013 Mitsubishi Outlander Aspire (4X4),USED,Automatic,AWD,Diesel,5.8,121114.0,Blue / -,4 cyl,SUV,4 Doors, 7 Seats, WA,4.0,2.3
Mercedes-Benz,2012,C-CLASS,2012 Mercedes-Benz C-CLASS W204 BlueEFFICIENCY Avantgarde Sedan 4dr 7G-TRONIC 7sp 1.8T,USED,Automatic,Other,Unleaded,7.6,162775.0,Black / -,-,missing_btc,missing_dr,missing_seats,NSW,4.0,2.2
Holden,2011,Commodore,2011 Holden Commodore SV6,USED,Automatic,Rear,Unleaded,9.9,120035.0,Black / Grey,6 cyl,Ute / Tray,2 Doors, 2 Seats,VIC,6.0,3.6
Toyota,2016,Landcruiser,2016 Toyota Landcruiser Prado GXL (4X4),USED,Automatic,4WD,Diesel,8.0,265908.0,White / -,4 cyl,SUV,4 Doors, 7 Seats,NSW,4.0,2.8
Holden,2010,Commodore,2010 Holden Commodore SS-V,USED,Automatic,Rear,Unleaded,12.9,240262.0,Silver / Black Leather,8 cyl,Ute / Tray,2 Doors, 2 Seats,NSW,8.0,6.0
Volkswagen,2019,Tiguan,2019 Volkswagen Tiguan 132 TSI Comfortline,USED,Automatic,AWD,Premium,7.5,56689.0,Grey / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Volkswagen,2017,Tiguan,2017 Volkswagen Tiguan 140 TDI Highline,USED,Automatic,AWD,Diesel,5.9,60497.0,White / Black,4 cyl,SUV,4 Doors, 5 Seats, SA,4.0,2.0
Jeep,2018,Compass,2018 Jeep Compass Limited (4X4),USED,Automatic,4WD,Unleaded,9.7,60800.0,White / -,4 cyl,SUV,4 Doors, 5 Seats, WA,4.0,2.4
Lexus,2018,ES350,2018 Lexus ES350 Sports Luxury,USED,Automatic,Front,Premium,9.5,46586.0,Grey / Black,6 cyl,Sedan,4 Doors, 5 Seats,NSW,6.0,3.5
Holden,2018,Colorado,2018 Holden Colorado LS-X Special Edition,USED,Automatic,4WD,Diesel,9.0,59560.0,White / Black,4 cyl,Ute / Tray,4 Doors, 5 Seats,TAS,4.0,2.8
Lexus,2013,RX450H,2013 Lexus RX450H Luxury,USED,Automatic,4WD,Premium,6.4,86819.0,White / -,6 cyl,SUV,4 Doors, 5 Seats,NSW,6.0,3.5
Holden,2011,Cruze,2011 Holden Cruze CD,USED,Automatic,Front,Unleaded,7.4,108852.0,Silver / Black Cloth,4 cyl,Sedan,4 Doors, 5 Seats,NSW,4.0,1.8
Hyundai,2010,IX35,2010 Hyundai IX35 Elite (awd),USED,Automatic,AWD,Unleaded,9.2,169373.0,Burgundy / -,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,2.4
Mazda,2006,BT-50,2006 Mazda BT-50 B2500 DX,USED,Manual,Rear,Diesel,8.3,314025.0,Silver / Grey  Cloth,4 cyl,Ute / Tray,2 Doors, 3 Seats,VIC,4.0,2.5
Toyota,2011,Camry,2011 Toyota Camry Touring SE,USED,Automatic,Front,Unleaded,8.8,36100.0,Brown / Grey,4 cyl,Sedan,4 Doors, 5 Seats,NSW,4.0,2.4
Hyundai,2012,I20,2012 Hyundai I20 Active,USED,Automatic,Front,Unleaded,6.4,134333.0,Red / Black,4 cyl,Hatchback,5 Doors, 5 Seats,QLD,4.0,1.4
Audi,2021,Q5,2021 Audi Q5 40 TDI Quattro Mhev,USED,Automatic,AWD,Hybrid,5.4,30188.0,White / Leather,4 cyl,SUV,4 Doors, 5 Seats,ACT,4.0,2.0
Holden,2017,Commodore,2017 Holden Commodore SV6,USED,Automatic,Rear,Unleaded,9.8,89887.0,White / Black,6 cyl,Wagon,4 Doors, 5 Seats,NSW,6.0,3.6
Toyota,2018,C-HR,2018 Toyota C-HR (2WD),USED,Automatic,Front,Premium,5.5,85422.0,Yellow / Black,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,1.2
Toyota,2019,HiAce,2019 Toyota HiAce LWB,USED,Automatic,AWD,Diesel,7.6,97000.0,- / -,-,Commercial,missing_dr, 9 Seats,QLD,4.0,2.2
Toyota,2016,Landcruiser,2016 Toyota Landcruiser VX (4X4),USED,Automatic,4WD,Diesel,9.5,165000.0,White / -,8 cyl,SUV,4 Doors, 7 Seats,VIC,8.0,4.5
Holden,2014,Commodore,2014 Holden Commodore Evoke,USED,Automatic,Rear,Unleaded,8.6,138095.0,Silver / -,6 cyl,Wagon,4 Doors, 5 Seats, SA,6.0,3.0
Suzuki,2023,Swift,2023 Suzuki Swift GL Navi,NEW,Automatic,Front,Unleaded,4.8,4.0,Red / -,4 cyl,Hatchback,5 Doors, 5 Seats, SA,4.0,1.2
Hyundai,2018,I30,2018 Hyundai I30 Active,USED,Automatic,Front,Unleaded,7.4,89740.0,White / Black,4 cyl,Hatchback,4 Doors, 5 Seats, WA,4.0,2.0
Land,2001,Rover,2001 Land Rover Discovery V8 (4X4),USED,Automatic,4WD,Unleaded,7.6,315338.0,White / -,8 cyl,SUV,4 Doors, 5 Seats,NSW,8.0,4.0
Lexus,2006,RX350,2006 Lexus RX350 Sports Luxury,USED,Automatic,4WD,Unleaded,17.2,199571.0,White / -,6 cyl,SUV,4 Doors, 5 Seats,NSW,6.0,3.5
Hyundai,2015,Tucson,2015 Hyundai Tucson Active (fwd),USED,Automatic,Front,Unleaded,7.9,66242.0,White / Black Cloth,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,2.0
Ford,2018,Ranger,2018 Ford Ranger XL 2.2 HI-Rider (4X2),USED,Automatic,Rear,Diesel,7.8,239542.0,White / Black,4 cyl,Ute / Tray,4 Doors, 5 Seats, WA,4.0,2.2
Mitsubishi,2009,Lancer,2009 Mitsubishi Lancer ES Sportback,USED,Manual,Front,Unleaded,7.9,172238.0,Red / -,4 cyl,Hatchback,5 Doors, 5 Seats, SA,4.0,2.0
Toyota,2016,Corolla,2016 Toyota Corolla ZR,USED,Automatic,Front,Unleaded,6.6,98000.0,Grey / -,4 cyl,Sedan,4 Doors, 5 Seats,TAS,4.0,1.8
Holden,2003,Cruze,2003 Holden Cruze,USED,Automatic,AWD,Unleaded,7.2,245121.0,Blue / -,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,1.5
Ford,2007,Ranger,2007 Ford Ranger XL (4X4),USED,Manual,4WD,Diesel,9.3,339438.0,White / -,4 cyl,Ute / Tray,4 Doors, 4 Seats,VIC,4.0,3.0
Mercedes-Benz,2005,CLK500,2005 Mercedes-Benz CLK500 Avantgarde,USED,Automatic,Rear,Unleaded,7.6,156223.0,Silver / -,8 cyl,Coupe,2 Doors, 5 Seats,VIC,8.0,5.0
Mercedes-Benz,2014,A45,2014 Mercedes-Benz A45 AMG,USED,Automatic,AWD,Premium,6.9,103571.0,Grey / Black,4 cyl,Hatchback,5 Doors, 5 Seats,VIC,4.0,2.0
Hyundai,2022,I30,2022 Hyundai I30 N Premium With Sunroof,USED,Manual,Front,Premium,8.2,3522.0,Blue / Leather,4 cyl,Sedan,4 Doors, 5 Seats,NSW,4.0,2.0
Toyota,2015,Yaris,2015 Toyota Yaris Ascent,USED,Automatic,Front,Unleaded,6.3,35929.0,Grey / Black Cloth,4 cyl,Hatchback,5 Doors, 5 Seats,VIC,4.0,1.3
Audi,2022,A3,2022 Audi A3 35 Tfsi Mhev,USED,Automatic,Front,Premium,4.9,6845.0,White / Black,4 cyl,Sedan,4 Doors, 5 Seats,NSW,4.0,1.5
Nissan,2003,Patrol,2003 Nissan Patrol ST (4X4),USED,Automatic,4WD,Diesel,7.6,437226.0,White / -,4 cyl,SUV,4 Doors, 7 Seats,QLD,4.0,3.0
Mazda,2012,CX-9,2012 Mazda CX-9 Luxury (fwd),USED,Automatic,Front,Unleaded,11.0,163355.0,White / Black,6 cyl,SUV,4 Doors, 7 Seats,NSW,6.0,3.7
Holden,2016,Trailblazer,2016 Holden Trailblazer LTZ (4X4),USED,Automatic,4WD,Diesel,9.4,160459.0,Blue / -,4 cyl,SUV,4 Doors, 7 Seats,NSW,4.0,2.8
Hyundai,2020,I30,2020 Hyundai I30,USED,Automatic,Front,Unleaded,7.4,34421.0,Grey / -,4 cyl,Hatchback,4 Doors, 5 Seats,QLD,4.0,2.0
Toyota,2018,Corolla,2018 Toyota Corolla Ascent Sport,USED,Automatic,Front,Unleaded,6.1,64777.0,White / Black,4 cyl,Hatchback,5 Doors, 5 Seats,ACT,4.0,1.8
Honda,2017,CR-V,2017 Honda CR-V VTI-L7 (2WD),USED,Automatic,Front,Unleaded,7.3,60999.0,Silver / Black,4 cyl,SUV,4 Doors, 7 Seats,QLD,4.0,1.5
Volkswagen,2022,Touareg,2022 Volkswagen Touareg 210TDI R-Line,DEMO,Automatic,AWD,Diesel,6.8,4650.0,Black / Soul Black,6 cyl,SUV,4 Doors, 5 Seats,VIC,6.0,3.0
Mercedes-Benz,2015,CLA250,2015 Mercedes-Benz CLA250 Sport 4Matic,USED,Automatic,AWD,Premium,6.6,78403.0,Red / -,4 cyl,Sedan,4 Doors, 5 Seats,NSW,4.0,2.0
Nissan,2021,Qashqai,2021 Nissan Qashqai ST,USED,Automatic,Front,Unleaded,6.9,70205.0,Blue / -,4 cyl,SUV,4 Doors, 5 Seats, WA,4.0,2.0
Holden,2017,Trailblazer,2017 Holden Trailblazer LTZ (4X4),USED,Automatic,4WD,Diesel,9.4,84281.0,Silver / -,4 cyl,SUV,4 Doors, 7 Seats,VIC,4.0,2.8
Holden,2011,Commodore,2011 Holden Commodore Omega,USED,Automatic,Rear,Unleaded,8.9,287742.0,Blue / -,6 cyl,Wagon,4 Doors, 5 Seats,NSW,6.0,3.0
Toyota,2021,Yaris,2021 Toyota Yaris Cross GXL Hybrid,USED,Automatic,Front,Hybrid,3.8,23072.0,Red / Black,3 cyl,SUV,4 Doors, 5 Seats, SA,3.0,1.5
Ford,2016,Focus,2016 Ford Focus Sport,USED,Automatic,Front,Unleaded,6.2,85298.0,Blue / Black,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.5
Volkswagen,2016,Scirocco,2016 Volkswagen Scirocco R Wolfsburg Edition,USED,Manual,Front,Premium,8.1,76892.0,White / Black,4 cyl,Hatchback,3 Doors, 4 Seats,NSW,4.0,2.0
Hyundai,2013,Veloster,2013 Hyundai Veloster +,USED,Automatic,Front,Unleaded,6.4,155244.0,White / -,4 cyl,Hatchback,3 Doors, 4 Seats,NSW,4.0,1.6
Toyota,2017,Hilux,2017 Toyota Hilux SR (4X4),USED,Automatic,4WD,Diesel,8.5,91361.0,White / -,4 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,4.0,2.8
Mazda,2013,BT-50,2013 Mazda BT-50 XT (4X2),USED,Automatic,Rear,Diesel,8.9,216957.0,Black / -,5 cyl,Ute / Tray,4 Doors, 5 Seats,VIC,5.0,3.2
Mercedes-Benz,2003,CLK320,2003 Mercedes-Benz CLK320 Elegance,USED,Automatic,Rear,Unleaded,7.6,92000.0,Black / Cream,6 cyl,Coupe,2 Doors, 5 Seats,QLD,6.0,3.2
GWM,2023,Haval,2023 GWM Haval Jolion Premium,DEMO,Automatic,Front,Premium,8.1,14.0,White / Black Cloth,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,1.5
Mercedes-Benz,2021,EQA,2021 Mercedes-Benz EQA 250,USED,Automatic,Front,Electric,7.6,4730.0,Black / Black,0 L,SUV,4 Doors, 5 Seats,NSW,4.0,2.2
Ford,2016,Ranger,2016 Ford Ranger XL 2.2 (4X4),USED,Automatic,4WD,Diesel,8.1,243000.0,White / Grey,4 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,4.0,2.2
Hyundai,2020,Kona,2020 Hyundai Kona Active (awd),USED,Automatic,AWD,Unleaded,6.7,81526.0,- / -,4 cyl,SUV,4 Doors, 5 Seats,TAS,4.0,1.6
Toyota,2005,Estima,2005 Toyota Estima Aeras,USED,Automatic,Front,-,7.6,114500.0,Silver / -,4 cyl,Wagon,4 Doors,missing_seats,VIC,4.0,2.4
Mazda,2012,3,2012 Mazda 3 NEO,USED,Automatic,Front,Unleaded,8.2,136633.0,Grey / -,4 cyl,Sedan,4 Doors, 5 Seats, WA,4.0,2.0
Holden,2010,Barina,2010 Holden Barina,USED,Automatic,Front,Unleaded,7.6,137821.0,Red / -,4 cyl,Sedan,4 Doors, 5 Seats,NSW,4.0,1.6
Toyota,2022,Kluger,2022 Toyota Kluger GX 2WD,USED,Automatic,Front,Premium,8.7,21053.0,Blue / -,6 cyl,SUV,5 Doors, 7 Seats,NSW,6.0,3.5
Skoda,2022,Scala,2022 Skoda Scala Ambition 85TSI,DEMO,Automatic,Front,Premium,5.3,495.0,Grey / -,3 cyl,Hatchback,5 Doors, 5 Seats,NSW,3.0,1.0
Mitsubishi,2017,ASX,2017 Mitsubishi ASX LS (2WD),USED,Automatic,Front,Unleaded,7.4,72301.0,Blue / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Holden,2013,Calais,2013 Holden Calais V,USED,Automatic,Rear,Unleaded,9.5,146433.0,Silver / Grey,6 cyl,Sedan,4 Doors, 5 Seats,VIC,6.0,3.6
Honda,2005,CR-V,2005 Honda CR-V Classic Wagon 4dr Man 5sp 4x4 2.0i,USED,Manual,Other,Unleaded,7.6,297000.0,Gold / -,-,Wagon,missing_dr,missing_seats, WA,4.0,2.2
Hyundai,2023,Venue,2023 Hyundai Venue,DEMO,Automatic,Front,Unleaded,7.2,2135.0,Blue / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,1.6
Audi,2014,Q7,2014 Audi Q7 3.0 TDI Quattro,USED,Automatic,AWD,Diesel,7.4,106808.0,White / Black,6 cyl,SUV,4 Doors, 7 Seats,VIC,6.0,3.0
Mazda,2014,BT-50,2014 Mazda BT-50 GT (4X4),USED,Automatic,4WD,Diesel,9.2,210121.0,Blue / -,5 cyl,Ute / Tray,4 Doors, 5 Seats,TAS,5.0,3.2
Jeep,2023,Wrangler,2023 Jeep Wrangler Unlimited Overland (4X4),NEW,Automatic,4WD,Unleaded,9.7,16.0,- / -,6 cyl,SUV,4 Doors, 5 Seats,VIC,6.0,3.6
Mercedes-Benz,2014,GLA200,2014 Mercedes-Benz GLA200 CDI,USED,Automatic,Front,Diesel,4.6,74000.0,White / -,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,2.1
Ford,2014,Ranger,2014 Ford Ranger XLS 3.2 (4X4),USED,Automatic,4WD,Diesel,9.2,205925.0,White / Black,5 cyl,Ute / Tray,4 Doors, 5 Seats,QLD,5.0,3.2
Toyota,2019,Landcruiser,2019 Toyota Landcruiser GXL (4X4),USED,Manual,4WD,Diesel,10.7,48930.0,White / Grey,8 cyl,Ute / Tray,2 Doors, 2 Seats,VIC,8.0,4.5
Toyota,2019,Hilux,2019 Toyota Hilux SR (4X4),USED,Manual,4WD,Diesel,8.1,75507.0,Grey / Black,4 cyl,Ute / Tray,2 Doors, 5 Seats, SA,4.0,2.8
Porsche,2019,718,2019 Porsche 718 Cayman GTS,USED,Automatic,Rear,Unleaded,8.3,9702.0,Grey / Gts Interior Package Crayon,4 cyl,Coupe,2 Doors, 2 Seats,ACT,4.0,2.5
Honda,2017,Vezel,2017 Honda Vezel RS HYBRID 1.5L 5 SEATER,USED,-,Other,-,7.6,62398.0,Black / -,-,Wagon,missing_dr,missing_seats,VIC,4.0,2.2
Toyota,2021,C-HR,2021 Toyota C-HR GR-S 1.8L AUTO CVT WAGON,USED,-,Other,-,7.6,33149.0,Black / -,-,Wagon,missing_dr,missing_seats,NSW,4.0,2.2
Mini,2010,Cooper,2010 Mini Cooper Cooper,USED,Manual,Front,Premium,7.6,133330.0,Yellow / -,-,Wagon,missing_dr,missing_seats,ACT,4.0,2.2
Hyundai,2015,IX35,2015 Hyundai IX35 SE (fwd),USED,Manual,Front,Unleaded,8.4,124200.0,- / -,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,2.0
Jaguar,2014,F-Type,2014 Jaguar F-Type V6,USED,Automatic,Rear,Premium,8.8,22063.0,Grey / -,6 cyl,Coupe,2 Doors, 2 Seats, WA,6.0,3.0
Isuzu,2019,D-MAX,2019 Isuzu D-MAX X-Rider Limited Edition (4X4),USED,Automatic,4WD,Diesel,7.9,107108.0,White / -,4 cyl,Ute / Tray,4 Doors, 5 Seats, WA,4.0,3.0
Holden,2018,Astra,2018 Holden Astra LS Plus,USED,Automatic,Front,Unleaded,6.1,59863.0,White / -,4 cyl,Sedan,4 Doors, 5 Seats,VIC,4.0,1.4
Hyundai,2017,Tucson,2017 Hyundai Tucson Active X 2WD,USED,Automatic,Front,Unleaded,7.6,114607.0,Grey / -,-,Wagon,missing_dr,missing_seats, WA,4.0,2.2
Toyota,2009,Estima,2009 Toyota Estima Aeras,USED,Automatic,Other,-,7.6,112418.0,Silver / Black,-,Wagon,missing_dr,missing_seats,NSW,4.0,2.2
Toyota,2012,Landcruiser,2012 Toyota Landcruiser Prado GX (4X4),USED,Automatic,4WD,Diesel,8.5,185065.0,White / -,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,3.0
Hyundai,2020,Kona,2020 Hyundai Kona Active (fwd),USED,Automatic,Front,Unleaded,7.2,54404.0,White / -,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,2.0
Mitsubishi,2020,Outlander,2020 Mitsubishi Outlander ES 7 Seat (awd),USED,Automatic,AWD,Unleaded,7.2,85039.0,White / Black,4 cyl,SUV,4 Doors, 7 Seats,QLD,4.0,2.4
Toyota,2021,C-HR,2021 Toyota C-HR GXL (2WD),USED,Automatic,Front,Premium,6.4,28396.0,White / Black,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,1.2
Land,2019,Rover,2019 Land Rover Range Rover Evoque P200 S (147KW),USED,Automatic,AWD,Premium,8.1,57274.0,Black / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Mitsubishi,2016,Pajero,2016 Mitsubishi Pajero GLX LWB (4X4),USED,Automatic,4WD,Diesel,9.0,59012.0,White / Black,4 cyl,SUV,4 Doors, 7 Seats, SA,4.0,3.2
Holden,2012,Colorado,2012 Holden Colorado LX (4X4),USED,Automatic,4WD,Diesel,8.1,128569.0,White / Black,4 cyl,Ute / Tray,4 Doors, 5 Seats,VIC,4.0,2.8
Audi,2023,Q5,2023 Audi Q5 45 Tfsi Quattro Mhev,DEMO,Automatic,AWD,Hybrid,8.0,1194.0,Grey / Black,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,2.0
Volkswagen,2008,Golf,2008 Volkswagen Golf GTI,USED,Manual,Front,Premium,8.1,155839.0,Silver / -,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,2.0
Nissan,2014,Pulsar,2014 Nissan Pulsar ST,USED,Automatic,Front,Unleaded,6.7,153857.0,Grey / Stnd,4 cyl,Hatchback,5 Doors, 5 Seats,QLD,4.0,1.8
Jeep,2019,Renegade,2019 Jeep Renegade Sport,USED,Manual,Front,Premium,6.0,66014.0,Green / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,1.6
Hyundai,2018,Santa,2018 Hyundai Santa FE Active Crdi (4X4),USED,Automatic,AWD,Diesel,7.8,94003.0,Silver / -,4 cyl,SUV,4 Doors, 7 Seats,QLD,4.0,2.2
Nissan,2018,Qashqai,2018 Nissan Qashqai N-TEC,USED,Automatic,Front,Unleaded,6.9,143555.0,Black / Black,4 cyl,SUV,4 Doors, 5 Seats, WA,4.0,2.0
Holden,2015,Captiva,2015 Holden Captiva 7 LS (fwd),USED,Automatic,Front,Unleaded,9.0,155696.0,White / -,4 cyl,SUV,4 Doors, 7 Seats, WA,4.0,2.4
Hyundai,2019,I30,2019 Hyundai I30 GO,USED,Automatic,Front,Unleaded,7.4,40662.0,Grey / Grey Cloth,4 cyl,Hatchback,4 Doors, 5 Seats,VIC,4.0,2.0
Jeep,2015,Wrangler,2015 Jeep Wrangler Unlimited Renegade Sport (4X4),USED,Automatic,4WD,Unleaded,11.7,152274.0,Blue / -,6 cyl,SUV,4 Doors, 5 Seats,NSW,6.0,3.6
Mercedes-Benz,2015,GLA250,2015 Mercedes-Benz GLA250 4Matic,USED,Automatic,AWD,Premium,7.0,122065.0,White / -,4 cyl,SUV,4 Doors, 5 Seats,ACT,4.0,2.0
Toyota,2020,Land,2020 Toyota Land Cruiser Landcruiser Wagon Sahara 4.5L T Diesel Automatic,USED,Automatic,Other,Diesel,7.6,99086.0,White / -,-,Wagon,missing_dr,missing_seats,VIC,4.0,2.2
Ford,2017,Ranger,2017 Ford Ranger Wildtrak 3.2 (4X4),USED,Automatic,4WD,Diesel,8.9,171548.0,Grey / -,5 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,5.0,3.2
Abarth,2021,595,2021 Abarth 595 Competizione,USED,Manual,Front,Premium,6.0,13200.0,Black / Black,4 cyl,Hatchback,3 Doors, 4 Seats,NSW,4.0,1.4
Nissan,2018,Navara,2018 Nissan Navara ST-X (4X4) (leather Trim),USED,Automatic,4WD,Diesel,7.0,100603.0,White / -,4 cyl,Ute / Tray,4 Doors, 5 Seats,ACT,4.0,2.3
Mitsubishi,2017,Outlander,2017 Mitsubishi Outlander LS (4X4),USED,Automatic,AWD,Unleaded,7.5,180595.0,Brown / -,4 cyl,SUV,4 Doors, 7 Seats,VIC,4.0,2.4
Toyota,2022,Kluger,2022 Toyota Kluger GXL eFour,USED,Automatic,Other,Premium,7.6,2051.0,Red / Black,-,Wagon,missing_dr,missing_seats,VIC,4.0,2.2
Hyundai,2022,Tucson,2022 Hyundai Tucson Highlander N Line (awd),USED,Automatic,AWD,Diesel,6.3,21441.0,White / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
BMW,2006,X3,2006 BMW X3 2.5I,USED,Automatic,4WD,Premium,17.1,167860.0,Silver / -,6 cyl,SUV,4 Doors, 5 Seats,VIC,6.0,2.5
Mazda,2023,CX-5,2023 Mazda CX-5 Maxx Sport,DEMO,Automatic,Other,Unleaded,7.6,1630.0,Grey / Black Cloth,-,SUV,missing_dr,missing_seats,QLD,4.0,2.2
Toyota,2018,Corolla,2018 Toyota Corolla Ascent Sport (hybrid),USED,Automatic,Front,Hybrid,4.2,81624.0,White / -,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.8
Mercedes-Benz,2021,GLA45,2021 Mercedes-Benz GLA45 S 4Matic+,USED,Automatic,AWD,Premium,9.6,19105.0,White / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Nissan,2007,Navara,2007 Nissan Navara ST-X (4X4),USED,Automatic,4WD,Diesel,10.5,265147.0,Black / -,4 cyl,Ute / Tray,4 Doors, 5 Seats,VIC,4.0,2.5
Toyota,2020,RAV4,2020 Toyota RAV4 GX (2WD),USED,Automatic,Front,Unleaded,6.5,85973.0,White / -,4 cyl,SUV,5 Doors, 5 Seats,TAS,4.0,2.0
Hyundai,2021,Ioniq,2021 Hyundai Ioniq Electric Premium,USED,Automatic,Front,Electric,7.6,17611.0,White / -,0 L,Hatchback,4 Doors, 5 Seats, WA,4.0,2.2
Honda,2013,Civic,2013 Honda Civic VTI-L,USED,Automatic,Front,Premium,6.5,71855.0,Red / -,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.8
Suzuki,2019,Swift,2019 Suzuki Swift GL Navigator,USED,Automatic,Front,Unleaded,4.8,63825.0,Blue / Black,4 cyl,Hatchback,5 Doors, 5 Seats,VIC,4.0,1.2
Mazda,2018,CX-5,2018 Mazda CX-5 Akera (4X4),USED,Automatic,AWD,Diesel,6.0,93640.0,Red / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.2
Suzuki,2016,Vitara,2016 Suzuki Vitara S Turbo (fwd),USED,Automatic,Front,Unleaded,5.9,72792.0,- / -,4 cyl,SUV,4 Doors, 5 Seats,ACT,4.0,1.4
Volkswagen,2014,Amarok,2014 Volkswagen Amarok TDI420 Highline (4X4),USED,Automatic,4WD,Diesel,8.3,181370.0,Blue / -,4 cyl,Ute / Tray,4 Doors, 5 Seats,QLD,4.0,2.0
Mazda,2007,BT-50,2007 Mazda BT-50 B3000 SDX (4X4),USED,Automatic,4WD,Diesel,10.4,237415.0,Red / -,4 cyl,Ute / Tray,4 Doors, 5 Seats,VIC,4.0,3.0
Toyota,2014,Landcruiser,2014 Toyota Landcruiser GXL (4X4),USED,Manual,4WD,Diesel,11.9,189999.0,White / -,8 cyl,SUV,4 Doors, 5 Seats,NSW,8.0,4.5
